Country_Name,Year,Population,Deaths_All_Types,Deaths_Suicides,HExp_Pctage_Y,MHExp_Pctage_2011,Dep_Num_2015,Suicide_p100
Armenia,2006,3219235,54404,78,5.85,3.38,4.99,5.36
Armenia,2007,3107395.5,53660,0,5.5,3.38,4.99,5.02
Armenia,2008,3234031,54824,63,6.64,3.38,4.99,4.23
Armenia,2009,3066044,55120,53,8.44,3.38,4.99,4.06
Armenia,2012,3024127,55200,79,9.13,3.38,4.99,6.39
Armenia,2013,3021979,54392,67,10.32,3.38,4.99,5.31
Armenia,2014,3013839,55428,58,10.18,3.38,4.99,4.63
Armenia,2015,3004588,55756,74,10.12,3.38,4.99,4.7
Armenia,2016,2992364,56452,0,9.95,3.38,4.99,4.43
Armenia,2017,2912921,54250,0,10.36,3.38,4.99,2.43
Armenia,2018,2969001,51502,0,10.01,3.38,4.99,1.65
Armenia,2019,2962482,52370,0,11.34,3.38,4.99,2.66
Australia,2000,19153380,257568,4,7.61,7.64,5.94,11.85
Australia,2001,19413240,257314,3,7.7,7.64,5.94,11.19
Australia,2002,19666322,266094,0,7.89,7.64,5.94,10.38
Australia,2003,19872646,263568,1,7.9,7.64,5.94,9.61
Australia,2004,20132756,264628,1,8.11,7.64,5.94,9.21
Australia,2006,20394791,267478,0,7.99,7.64,5.94,9.53
Australia,2007,21072452,275708,2,8.07,7.64,5.94,9.82
Australia,2008,21498540,287892,1,8.26,7.64,5.94,10.45
Australia,2009,21951736,281520,2,8.56,7.64,5.94,10.01
Australia,2010,22297515,286946,2,8.43,7.64,5.94,10.41
Australia,2011,22340024,293864,1,8.54,7.64,5.94,10.06
Australia,2012,22728254,294196,0,8.68,7.64,5.94,10.48
Australia,2013,23117353,295356,2,8.76,7.64,5.94,10.24
Australia,2014,23504138,307160,3,9.04,7.64,5.94,11.31
Australia,2015,23815995,318104,0,9.33,7.64,5.94,11.81
Australia,2016,24190907,317008,4,9.25,7.64,5.94,10.92
Australia,2017,24597528,322168,4,9.27,7.64,5.94,11.79
Australia,2018,24992369,317318,4,9.16,7.64,5.94,11.26
Australia,2019,25364307,337920,1,9.91,7.64,5.94,11.25
Azerbaijan,2001,8111200,134237,317,2.76,2.5,4.64,3.72
Azerbaijan,2002,8171950,137852,92,2.73,2.5,4.64,3.88
Azerbaijan,2003,8234100,146174,129,2.73,2.5,4.64,4.04
Azerbaijan,2004,8306500,146217,108,2.67,2.5,4.64,4.5
Azerbaijan,2007,8581300,100878,55,1.99,2.5,4.64,5
Brazil,2019,210147125,2699602,3,9.59,2.38,5.76,6.41
Bulgaria,2005,7739900,226748,982,6.89,1.4,5.16,9.56
Bulgaria,2006,7699020,226876,977,6.53,1.4,5.16,9.46
Bulgaria,2007,7659764,226008,902,6.16,1.4,5.16,8.57
Bulgaria,2008,7623395,221046,939,6.29,1.4,5.16,9.19
Bulgaria,2009,7585131,216136,868,6.6,1.4,5.16,8.51
Bulgaria,2010,7534289,220330,859,7.14,1.4,5.16,8.45
Bulgaria,2011,7416046,216516,763,7.14,1.4,5.16,7.9
Bulgaria,2012,7305888,218562,872,7.58,1.4,5.16,8.75
Bulgaria,2013,7265115,208690,1,7.17,1.4,5.16,7.35
Bulgaria,2014,7223937.5,217904,2,7.71,1.4,5.16,7.13
Bulgaria,2015,7177991,220234,2,7.41,1.4,5.16,6.77
Bulgaria,2016,7127822,215160,1,7.48,1.4,5.16,6.57
Bulgaria,2017,7075947,219582,2,7.52,1.4,5.16,6.65
Bulgaria,2018,7025037,217052,1,7.34,1.4,5.16,6.6
Bulgaria,2019,6975760.5,216166,3,7.13,1.4,5.16,6.5
Canada,2000,30790834,436124,1,8.25,7.2,4.65,10.71
Canada,2001,31021251,439076,4,8.62,7.2,4.65,10.86
Canada,2002,31372587,447206,2,8.86,7.2,4.65,10.53
Canada,2003,31669150,452338,1,9.01,7.2,4.65,10.89
Canada,2004,31989454,453168,0,9.07,7.2,4.65,10.27
Canada,2005,32299496,460264,2,9.04,7.2,4.65,10.58
Costa Rica,2019,5058007,48584,0,7.27,2.91,4.7,7.62
Cyprus,2000,693789,14004,7,5.31,4.82,5.06,1.92
Cyprus,2004,732149,10450,0,5.41,4.82,5.06,0.82
Cyprus,2005,742836,10850,0,5.44,4.82,5.06,2.34
Cyprus,2006,755266,10254,0,5.46,4.82,5.06,3.22
Cyprus,2007,771688,10760,0,5.36,4.82,5.06,2.82
Cyprus,2008,791150,10388,0,6.01,4.82,5.06,5.55
Cyprus,2009,812847,10364,0,6.47,4.82,5.06,3.99
Cyprus,2010,834454,10190,0,6.52,4.82,5.06,4.63
Cyprus,2011,848964,10496,0,6.45,4.82,5.06,3.7
Cyprus,2012,863942,11000,0,6.55,4.82,5.06,4.9
Cyprus,2013,861930,10544,0,6.95,4.82,5.06,5.1
Cyprus,2014,853166,11078,0,6.95,4.82,5.06,4.77
Cyprus,2015,843117,11976,0,6.75,4.82,5.06,4.17
Cyprus,2016,849833,11174,0,6.62,4.82,5.06,4.15
Cyprus,2017,864236,12376,0,6.6,4.82,5.06,3.28
Cyprus,2018,875899,11926,0,6.77,4.82,5.06,3.64
Egypt,2001,65419798,812978,49,5.4,2.29,3.46,3.75
Egypt,2002,66668344,839066,36,5.51,2.29,3.46,3.74
Egypt,2003,67976142,874076,42,5.22,2.29,3.46,3.71
Egypt,2004,69330423,867936,54,4.86,2.29,3.46,3.66
Egypt,2005,70668129,863276,52,4.92,2.29,3.46,3.59
Egypt,2006,72010572,884114,43,4.84,2.29,3.46,3.56
Egypt,2007,73435640,905662,32,4.44,2.29,3.46,3.51
Egypt,2008,75097301,932762,41,4.47,2.29,3.46,3.51
Egypt,2009,76823104,953182,52,4.38,2.29,3.46,3.55
Egypt,2010,78728329,983218,48,4.15,2.29,3.46,3.62
Egypt,2011,80410017,986138,177,4.36,2.29,3.46,3.69
Egypt,2012,82569282,1058466,211,4.71,2.29,3.46,3.83
Egypt,2013,84628981,1022366,149,4.92,2.29,3.46,3.77
Egypt,2014,86811192,1063728,88,5.03,2.29,3.46,3.69
Egypt,2015,88957833,1147758,49,5.34,2.29,3.46,3.72
Egypt,2016,91023393,1112296,61,5.36,2.29,3.46,3.63
Egypt,2017,95202532,1094416,67,5.63,2.29,3.46,3.39
Egypt,2018,97147368,1120616,86,4.95,2.29,3.46,3.37
Egypt,2019,98901934,1141160,72,4.74,2.29,3.46,3.41
Estonia,2000,1396985,36806,377,5.16,5.78,5.91,24.98
Estonia,2001,1388115,37032,401,4.78,5.78,5.91,26.14
Estonia,2002,1379350,36710,371,4.7,5.78,5.91,25.76
Estonia,2003,1370720,36304,342,4.86,5.78,5.91,22.32
Estonia,2004,1362550,35370,323,5.12,5.78,5.91,23.15
Estonia,2005,1354775,34632,273,5.06,5.78,5.91,19.05
Estonia,2006,1346810,34632,247,4.77,5.78,5.91,16.82
Estonia,2007,1340680,34818,253,4.98,5.78,5.91,17.47
Estonia,2008,1337090,33350,242,5.71,5.78,5.91,16.24
Estonia,2009,1334515,32198,0,6.51,5.78,5.91,19.21
Estonia,2010,1331475,31562,0,6.27,5.78,5.91,15.42
Estonia,2011,1327439,30408,0,5.77,5.78,5.91,14.75
Estonia,2012,1329302,30946,0,5.79,5.78,5.91,17.15
Estonia,2013,1317997,30748,218,5.98,5.78,5.91,14.9
Estonia,2014,1314545,30940,0,6.08,5.78,5.91,16.16
Estonia,2015,1314608,30486,195,6.35,5.78,5.91,13.36
Estonia,2016,1315789.5,30766,183,6.43,5.78,5.91,12.49
Fiji,2009,845535,12808,0,3.54,1.9,3.5,10.16
Finland,2000,5176209,98632,1163,7.09,3.86,5.61,21.74
Finland,2001,5188008,97008,1203,7.25,3.86,5.61,21.19
Finland,2002,5200599,98778,1093,7.63,3.86,5.61,19.18
Finland,2003,5213014,98066,1073,7.94,3.86,5.61,18.92
Finland,2004,5228172,95514,1063,8.06,3.86,5.61,18.86
Finland,2005,5246096,95502,991,8.29,3.86,5.61,16.88
Finland,2006,5266268,96212,1061,8.28,3.86,5.61,18.25
Finland,2007,5288720,98186,993,8.08,3.86,5.61,16.98
Finland,2008,5313399,98180,1032,8.34,3.86,5.61,18.12
Finland,2009,5338870.5,99808,1032,9.16,3.86,5.61,17.89
Finland,2010,5363352,101820,951,9.14,3.86,5.61,16.44
Finland,2011,5388272,101136,908,9.22,3.86,5.61,15.68
Finland,2012,5413971,103474,872,9.59,3.86,5.61,14.91
Finland,2013,5438972,102956,887,9.81,3.86,5.61,15.04
Finland,2014,5461511.5,104818,783,9.78,3.86,5.61,13.65
Finland,2016,5495302.5,107928,786,9.38,3.86,5.61,13.26
Finland,2017,5508213.5,107340,821,9.13,3.86,5.61,14.4
Finland,2018,5515525,109046,809,9.04,3.86,5.61,14.41
France,2000,58895702,1061700,12,9.58,12.91,4.84,15.81
France,2001,59192597,1062144,9,9.71,12.91,4.84,15.37
France,2002,59678253,1070280,11,10.02,12.91,4.84,15.59
France,2003,60154851,1104670,15,10.08,12.91,4.84,15.75
France,2004,60643306.5,1018838,6,10.16,12.91,4.84,15.29
France,2005,60995911,1055032,6,10.21,12.91,4.84,14.82
France,2006,61597642,1031904,8,10.39,12.91,4.84,14.36
France,2007,61963276,1041070,5,10.32,12.91,4.84,13.78
France,2008,62304840,1064948,6,10.5,12.91,4.84,13.96
France,2009,62615899,1074394,7,11.29,12.91,4.84,14.08
France,2010,62932342.5,1083152,6,11.23,12.91,4.84,13.89
France,2011,63224445,1073256,8,11.18,12.91,4.84,13.59
France,2012,63519077,1116904,21,11.3,12.91,4.84,13.36
France,2013,63781774.5,1112062,11,11.42,12.91,4.84,12.5
France,2014,64129484,1089236,6,11.54,12.91,4.84,11.45
Georgia,2000,4418300,82570,131,7.19,2.83,4.96,6.6
Georgia,2001,4386450,78678,100,7.17,2.83,4.96,6.1
Georgia,2004,4318350,97586,0,8.09,2.83,4.96,6.4
Georgia,2005,4361400,81442,0,8.08,2.83,4.96,5.45
Georgia,2006,4398000,84510,0,7.63,2.83,4.96,5.34
Georgia,2007,4388400,82356,0,7.44,2.83,4.96,5.18
Georgia,2009,4410900,93250,0,9.57,2.83,4.96,7.36
Georgia,2010,4469200,95728,0,9.07,2.83,4.96,6.98
Georgia,2011,4483400,99636,1,8.01,2.83,4.96,7.2
Georgia,2012,4490700,98696,3,8.05,2.83,4.96,7.65
Georgia,2013,4487200,97106,5,7.88,2.83,4.96,8.17
Georgia,2014,3727000,98174,6,7.9,2.83,4.96,8.58
Georgia,2015,3725276,98242,6,7.42,2.83,4.96,8.79
Georgia,2016,3727505,101542,1,8,2.83,4.96,9.03
Georgia,2017,3728003.5,95644,0,7.06,2.83,4.96,8.07
Georgia,2018,3726548.5,93048,0,7.11,2.83,4.96,7.85
Georgia,2019,3720161,93318,0,6.66,2.83,4.96,7.65
Germany,2000,82187614,1677594,8,9.89,11,5.19,11.16
Germany,2001,82339777,1657082,11,9.92,11,5.19,11.12
Germany,2002,82482309,1683372,13,10.18,11,5.19,11
Germany,2003,82520176,1707892,5,10.4,11,5.19,10.79
Germany,2004,82501274,1636542,8,10.15,11,5.19,10.38
Germany,2005,82464344,1660454,10,10.31,11,5.19,9.81
Germany,2006,82365810,1643254,10,10.18,11,5.19,9.25
Germany,2007,82262642,1654310,7,10.05,11,5.19,8.94
Germany,2008,82119776,1688878,8,10.25,11,5.19,9.06
Germany,2009,81874770,1709088,8,11.24,11,5.19,9.13
Germany,2010,81757471,1717536,9,11.1,11,5.19,9.5
Germany,2011,81779210,1704656,9,10.78,11,5.19,9.25
Germany,2012,81917349,1739164,6,10.85,11,5.19,8.98
Germany,2013,80645605,1787650,15,11,11,5.19,9.22
Germany,2014,80982500,1736712,8,11.02,11,5.19,9.19
Germany,2015,81686611,1850400,10,11.18,11,5.19,9
Germany,2016,82348669,1821801,14,11.24,11,5.19,8.82
Germany,2017,82657003,1864544,7,11.33,11,5.19,8.34
Germany,2018,82905782,1909748,13,11.45,11,5.19,8.46
Germany,2019,83092962,1879040,10,11.7,11,5.19,8.27
Greece,2014,10892369,227480,0,7.91,4.43,5.74,4.04
Greece,2015,10820964,242970,0,8.07,4.43,5.74,3.78
Greece,2016,10775989,237904,0,8.32,4.43,5.74,3.42
Greece,2017,10754701,249044,0,8.1,4.43,5.74,3.79
Greece,2018,10732898,240726,0,7.96,4.43,5.74,3.65
Greece,2019,10721550,250032,0,7.84,4.43,5.74,3.62
Hungary,2000,10024221,271202,0,6.78,5.1,5.1,26.62
Hungary,2001,10187575,264366,0,6.83,5.1,5.1,23.76
Hungary,2002,10158607,265666,0,7.12,5.1,5.1,22.79
Hungary,2003,10129551,271646,0,8.12,5.1,5.1,21.79
Hungary,2004,10107145,264984,0,7.77,5.1,5.1,21.6
Hungary,2005,10087065,271464,0,8,5.1,5.1,20.48
Hungary,2006,10071370,263206,1,7.79,5.1,5.1,19.22
Hungary,2007,10055780,265876,0,7.22,5.1,5.1,18.89
Hungary,2008,10038188,260054,1,7.1,5.1,5.1,19.13
Hungary,2009,10022649.5,260828,0,7.24,5.1,5.1,19.54
Hungary,2010,10000024,260912,0,7.46,5.1,5.1,19.17
Hungary,2011,9971727,257590,0,7.49,5.1,5.1,18.95
Hungary,2012,9920361.5,258880,1,7.43,5.1,5.1,18.37
Hungary,2013,9893081.5,253556,0,7.25,5.1,5.1,16.14
Hungary,2014,9866468,252616,0,7.06,5.1,5.1,14.96
Hungary,2015,9843028,263394,0,6.86,5.1,5.1,14.6
Hungary,2016,9814023,254106,1,7,5.1,5.1,13.34
Hungary,2017,9787966,263348,0,6.76,5.1,5.1,12.62
Hungary,2018,9775564,262090,0,6.55,5.1,5.1,12.58
Hungary,2019,9771142,259206,0,6.35,5.1,5.1,11.77
Iceland,2000,281154,3656,0,8.93,8.69,4.09,12.68
Iceland,2001,285054,3450,0,8.79,8.69,4.09,12.44
Iceland,2002,287559,3644,2,9.47,8.69,4.09,11.75
Iceland,2003,289272,3652,0,9.73,8.69,4.09,12.01
Iceland,2004,292587,3648,0,9.33,8.69,4.09,11.48
Iceland,2005,295864,3674,0,8.95,8.69,4.09,10.81
Iceland,2006,304334,3806,0,8.56,8.69,4.09,11.26
Iceland,2007,311396,3886,0,8.35,8.69,4.09,13.49
Iceland,2008,319355,3974,0,8.34,8.69,4.09,13.35
Iceland,2009,319246,4004,0,8.78,8.69,4.09,12.88
Iceland,2010,318041,4038,46,8.36,8.69,4.09,11.79
Iceland,2011,319013.5,3976,27,8.2,8.69,4.09,10.69
Iceland,2012,320716,3910,37,8.18,8.69,4.09,12.53
Iceland,2013,323764,4316,49,8.18,8.69,4.09,12.45
Iceland,2014,327385.5,4096,44,8.23,8.69,4.09,14.37
Iceland,2015,330814.5,4364,40,8.07,8.69,4.09,13.17
Iceland,2016,335439,4620,40,8.1,8.69,4.09,12.26
Iceland,2017,343399.5,4472,34,8.31,8.69,4.09,11.66
Iceland,2018,352720.5,4516,0,8.44,8.69,4.09,10.12
Iceland,2019,360563,4552,0,8.64,8.69,4.09,11.15
Iran (Islamic Republic of),2016,79926270,679964,2925,8.57,3.6,4.86,5.92
Italy,2003,57604658,1177794,0,7.83,5,5.14,5.27
Italy,2004,57685327,1090102,1,8.17,5,5.14,5.14
Italy,2005,57969484,1136656,0,8.34,5,5.14,4.81
Italy,2006,58941499,1117228,0,8.44,5,5.14,4.68
Italy,2007,59375289,1145762,0,8.14,5,5.14,4.7
Italy,2008,59832179,1162940,2,8.53,5,5.14,4.85
Italy,2009,60192698,1176876,4,8.95,5,5.14,4.87
Italy,2010,60483386,1169230,2,8.92,5,5.14,4.82
Italy,2011,59379462,1188306,4,8.77,5,5.14,5.13
Italy,2012,59539725,1227040,2,8.78,5,5.14,5.36
Italy,2013,60233948,1199396,6,8.78,5,5.14,5.27
Italy,2014,60789140,1197340,2,8.87,5,5.14,5.03
Italy,2015,60730582,1292096,1,8.86,5,5.14,4.83
Italy,2016,60627498,1236166,2,8.73,5,5.14,4.35
Italy,2017,60536709,1301228,3,8.68,5,5.14,4.84
Japan,2000,125612633,1923306,5,7.03,4.94,4.24,18.08
Japan,2001,125908000,1940662,9,7.24,4.94,4.24,17.46
Japan,2002,126008000,1964758,4,7.35,4.94,4.24,17.88
Japan,2003,126140000,2029902,9,7.49,4.94,4.24,19.52
Japan,2004,126176000,2057204,8,7.54,4.94,4.24,18.42
Japan,2005,126204902,2167592,4,7.66,4.94,4.24,18.81
Japan,2006,126154000,2168900,2,7.69,4.94,4.24,18.44
Japan,2007,126085000,2216668,2,7.78,4.94,4.24,19.14
Japan,2008,125947000,2284814,7,8.09,4.94,4.24,19.03
Japan,2009,125820000,2283730,7,8.96,4.94,4.24,19.49
Japan,2010,126381728,2394024,10,9.06,4.94,4.24,18.81
Japan,2011,126180000,2506132,9,10.49,4.94,4.24,18.43
Japan,2012,125958000,2512718,10,10.67,4.94,4.24,17.02
Japan,2013,125704000,2536872,17,10.67,4.94,4.24,16.69
Japan,2014,125432000,2546008,12,10.73,4.94,4.24,15.78
Japan,2015,125319299,2580888,8,10.75,4.94,4.24,14.89
Japan,2016,125020252,2615496,11,10.66,4.94,4.24,13.75
Japan,2017,124648471,2680794,14,10.66,4.94,4.24,13.51
Japan,2018,124218285,2724940,20031,10.75,4.94,4.24,13.37
Japan,2019,123731176,2762186,10,10.74,4.94,4.24,12.24
Kyrgyzstan,2000,4887550,68226,0,4.41,4,4.1,17.6
Kyrgyzstan,2001,4927048,65354,0,4.28,4,4.1,16.4
